Region,Country,State,City,Month,Day,Year,AvgTemperature
Asia,Thailand,,Bangkok,8,27,2010,85.8
Asia,Pakistan,,Karachi,3,24,2010,83.4
North America,US,Texas,El Paso,6,8,2010,86.4
Europe,Ukraine,,Kiev,7,10,2010,73.9
Africa,Gabon,,Libreville,8,19,2010,75.7
Europe,United Kingdom,,Belfast,1,3,2010,28.5
Africa,Egypt,,Cairo,3,4,2010,65.6
Europe,Macedonia,,Skopje,7,29,2010,70.5
North America,US,Louisiana,Baton Rouge,8,20,2010,82.0
North America,US,Ohio,Youngstown,2,26,2010,24.4
Africa,Benin,,Cotonou,2,27,2010,86.7
Africa,Tunisia,,Tunis,9,26,2010,70.6
Australia/South Pacific,Australia,,Melbourne,3,9,2010,75.2
Asia,Pakistan,,Islamabad,12,8,2010,52.5
Asia,Vietnam,,Hanoi,2,3,2010,76.3
Europe,Hungary,,Budapest,8,11,2010,71.2
Middle East,Jordan,,Amman,12,19,2010,49.6
North America,US,Michigan,Flint,6,1,2010,71.9
North America,US,Colorado,Pueblo,7,26,2010,73.4
South/Central America & Carribean,Brazil,,Rio de Janeiro,9,5,2010,75.1
Middle East,United Arab Emirates,,Abu Dhabi,8,16,2010,101.0
North America,US,Ohio,Youngstown,6,12,2010,75.6
North America,US,Washington,Seattle,8,29,2010,57.9
North America,US,Illinois,Springfield,8,17,2010,72.4
North America,US,Ohio,Youngstown,4,1,2010,65.5
North America,US,Wisconsin,Milwaukee,5,15,2010,55.3
North America,US,Nebraska,Lincoln,11,29,2010,41.6
Middle East,Turkey,,Istanbul,11,2,2010,55.9
North America,US,Michigan,Lansing,3,27,2010,35.5
North America,US,Tennessee,Knoxville,1,12,2010,30.9
North America,US,Illinois,Springfield,4,28,2010,53.3
North America,US,Ohio,Cleveland,10,8,2010,56.8
North America,US,Idaho,Boise,11,14,2010,40.3
North America,US,Alaska,Fairbanks,1,6,2010,1.5
North America,US,Utah,Salt Lake City,10,27,2010,36.9
North America,US,New York,Albany,4,14,2010,50.0
Middle East,United Arab Emirates,,Dubai,3,12,2010,75.0
Europe,Greece,,Athens,2,26,2010,56.9
North America,US,Kentucky,Lexington,6,6,2010,75.6
South/Central America & Carribean,Colombia,,Bogota,2,17,2010,59.4
North America,US,Ohio,Toledo,10,6,2010,55.4
Asia,Indonesia,,Jakarta,2,10,2010,86.2
North America,US,South Dakota,Rapid City,12,29,2010,31.9
North America,US,Maryland,Washington DC,7,6,2010,90.1
Europe,Greece,,Athens,1,22,2010,46.3
South/Central America & Carribean,Nicaragua,,Managua,10,22,2010,79.8
South/Central America & Carribean,Bolivia,,La Paz,10,31,2010,48.8
North America,US,New York,Syracuse,8,15,2010,72.1
North America,US,California,Los Angeles,5,11,2010,58.6
North America,US,Mississippi,Jackson,8,17,2010,82.2
North America,US,Vermont,Burlington,7,12,2010,76.7
Europe,Austria,,Vienna,10,12,2010,46.9
Europe,Spain,,Madrid,8,26,2010,84.7
Europe,Russia,,Moscow,7,4,2010,72.3
North America,US,Texas,San Angelo,7,17,2010,85.0
Europe,Greece,,Athens,9,1,2010,79.3
South/Central America & Carribean,Nicaragua,,Managua,9,13,2010,80.4
Europe,The Netherlands,,Amsterdam,2,22,2010,37.5
North America,US,New Jersey,Newark,8,4,2010,81.7
North America,US,New York,Albany,12,9,2010,17.7
North America,US,Texas,San Antonio,1,19,2010,63.4
North America,US,California,Los Angeles,10,2,2010,70.0
Asia,Indonesia,,Jakarta,9,25,2010,82.6
North America,US,Alaska,Fairbanks,3,21,2010,15.8
North America,US,Florida,Tampa St. Petersburg,1,8,2010,49.3
North America,US,Illinois,Chicago,4,13,2010,56.1
North America,US,Georgia,Atlanta,6,24,2010,80.5
Asia,Nepal,,Katmandu,2,14,2010,57.9
South/Central America & Carribean,Panama,,Panama City,5,8,2010,83.4
North America,US,South Dakota,Rapid City,11,11,2010,35.3
North America,US,Connecticut,Bridgeport,8,3,2010,76.9
Europe,Italy,,Milan,10,14,2010,51.1
North America,US,Ohio,Cincinnati,10,2,2010,53.3
Asia,Mongolia,,Ulan-bator,5,6,2010,38.6
South/Central America & Carribean,Brazil,,Sao Paulo,10,25,2010,67.7
Africa,Egypt,,Cairo,6,19,2010,88.4
Asia,Japan,,Sapporo,8,26,2010,71.1
North America,US,Washington,Seattle,1,12,2010,50.3
Asia,Kazakhstan,,Almaty,12,26,2010,20.4
North America,US,Maryland,Baltimore,5,31,2010,79.1
Asia,Singapore,,Singapore,5,28,2010,84.5
Australia/South Pacific,Australia,,Melbourne,11,28,2010,68.3
North America,US,Florida,Jacksonville,8,27,2010,77.8
Europe,Austria,,Vienna,7,23,2010,76.7
North America,US,Ohio,Akron Canton,7,10,2010,72.3
North America,US,Tennessee,Memphis,2,21,2010,53.0
North America,Canada,,Ottawa,12,24,2010,19.6
North America,US,Pennsylvania,Harrisburg,1,9,2010,25.9
Asia,North Korea,,Pyongyang,11,9,2010,32.8
North America,US,Additional Territories,San Juan Puerto Rico,6,18,2010,82.8
Middle East,Saudi Arabia,,Riyadh,12,7,2010,58.2
North America,US,Minnesota,Duluth,6,29,2010,57.2
Middle East,Kuwait,,Kuwait,2,24,2010,66.4
Asia,China,,Shanghai,8,9,2010,87.0
North America,US,Florida,Tampa St. Petersburg,3,2,2010,62.4
North America,US,Colorado,Denver,9,5,2010,78.9
North America,US,New Hampshire,Concord,8,9,2010,71.8
Europe,United Kingdom,,London,4,5,2010,48.1
South/Central America & Carribean,Uruguay,,Montvideo,10,27,2010,59.5
North America,US,Montana,Helena,1,1,2010,20.5
North America,US,Nevada,Reno,2,3,2010,39.9
North America,US,Pennsylvania,Erie,6,21,2010,70.8
South/Central America & Carribean,Uruguay,,Montvideo,8,6,2010,47.7
North America,US,Virginia,Richmond,12,21,2010,33.2
North America,US,Florida,Tampa St. Petersburg,5,19,2010,79.0
North America,US,California,Sacramento,11,19,2010,53.2
Europe,Italy,,Milan,5,7,2010,51.4
Middle East,United Arab Emirates,,Dubai,10,13,2010,90.7
North America,Canada,,Vancouver,12,24,2010,46.0
North America,Mexico,,Mexico City,3,17,2010,60.4
Europe,Bulgaria,,Sofia,7,2,2010,68.2
North America,US,Oregon,Medford,9,17,2010,68.0
North America,US,Georgia,Savannah,10,20,2010,69.9
North America,US,California,San Francisco,1,22,2010,45.4
Asia,India,,Chennai (Madras),1,4,2010,74.0
North America,US,Idaho,Boise,5,2,2010,46.6
Asia,Japan,,Sapporo,6,20,2010,61.1
North America,US,Pennsylvania,Allentown,2,16,2010,29.9
North America,US,Texas,Dallas Ft Worth,10,25,2010,74.7
North America,US,Washington,Yakima,12,25,2010,34.5
North America,US,North Carolina,Greensboro,7,15,2010,82.5
North America,US,Ohio,Youngstown,9,29,2010,55.5
Europe,Russia,,Moscow,4,25,2010,36.6
North America,US,Pennsylvania,Wilkes Barre,8,30,2010,65.1
Africa,Tanzania,,Dar Es Salaam,12,11,2010,81.4
Asia,Laos,,Vientiane,6,11,2010,86.3
North America,US,Ohio,Youngstown,12,24,2010,26.6
North America,US,West Virginia,Charleston,10,26,2010,65.7
Africa,Tunisia,,Tunis,2,6,2010,58.5
North America,US,Wisconsin,Green Bay,2,2,2010,19.6
Asia,Sri Lanka,,Colombo,6,17,2010,81.1
North America,US,Tennessee,Nashville,4,22,2010,60.2
Africa,Congo,,Brazzaville,12,9,2010,79.6
North America,US,North Dakota,Bismarck,6,2,2010,55.8
Europe,Bulgaria,,Sofia,1,16,2010,34.5
North America,US,Illinois,Chicago,7,2,2010,71.3
North America,US,Georgia,Atlanta,8,27,2010,79.7
South/Central America & Carribean,Barbados,,Bridgetown,7,26,2010,83.7
Europe,Norway,,Oslo,4,25,2010,41.3
Africa,Kenya,,Nairobi,3,14,2010,-99.0
Europe,Poland,,Warsaw,4,30,2010,64.7
North America,US,Montana,Helena,1,27,2010,13.5
North America,US,South Carolina,Charleston,5,13,2010,68.9
North America,US,South Dakota,Sioux Falls,5,30,2010,67.6
Asia,China,,Shenyang,8,23,2010,68.3
Europe,Portugal,,Lisbon,11,16,2010,53.0
North America,US,Washington,Yakima,4,25,2010,48.9
Africa,Namibia,,Windhoek,12,12,2010,-99.0
Asia,China,,Beijing,4,14,2010,47.0
North America,US,Florida,Miami Beach,3,6,2010,59.6
Europe,Czech Republic,,Prague,5,15,2010,45.6
Europe,Russia,,Moscow,5,31,2010,64.0
North America,US,Idaho,Pocatello,4,30,2010,40.6
North America,US,Arizona,Tucson,11,18,2010,60.2
North America,US,Alaska,Fairbanks,2,8,2010,-7.0
North America,US,Pennsylvania,Allentown,11,26,2010,40.2
North America,US,Washington,Yakima,12,28,2010,32.6
North America,US,Missouri,Kansas City,2,5,2010,33.5
North America,US,Pennsylvania,Erie,12,17,2010,24.9
Europe,Iceland,,Reykjavik,10,15,2010,46.6
North America,US,Pennsylvania,Erie,5,16,2010,53.1
South/Central America & Carribean,Bolivia,,La Paz,3,1,2010,46.4
Europe,Yugoslavia,,Belgrade,12,28,2010,23.4
North America,US,Maryland,Washington DC,11,6,2010,46.3
North America,US,Florida,Daytona Beach,8,19,2010,83.4
North America,US,Missouri,St Louis,1,22,2010,36.6
Asia,India,,Bombay (Mumbai),5,15,2010,87.0
North America,US,Colorado,Grand Junction,8,16,2010,76.9
North America,US,New York,Buffalo,3,24,2010,37.5
South/Central America & Carribean,Nicaragua,,Managua,1,13,2010,78.9
South/Central America & Carribean,Brazil,,Sao Paulo,5,23,2010,62.6
Africa,South Africa,,Capetown,12,6,2010,69.8
Asia,Malaysia,,Kuala Lumpur,1,21,2010,81.7
Africa,Uganda,,Kampala,9,16,2010,70.6
Europe,United Kingdom,,London,8,25,2010,57.2
South/Central America & Carribean,Suriname,,Paramaribo,7,4,2010,79.5
North America,US,Texas,Waco,9,9,2010,82.0
North America,Canada,,Ottawa,3,20,2010,42.6
Africa,Gambia,,Banjul,7,5,2010,83.0
Asia,China,,Beijing,8,27,2010,76.1
Europe,United Kingdom,,Belfast,8,25,2010,56.9
Africa,Madagascar,,Antananarivo,6,7,2010,62.9
North America,US,Missouri,Springfield,10,27,2010,52.9
Asia,China,,Shenyang,8,20,2010,75.4
South/Central America & Carribean,Costa Rica,,San Jose,10,11,2010,73.5
Asia,Mongolia,,Ulan-bator,3,23,2010,9.7
North America,US,Illinois,Peoria,1,18,2010,33.3
Europe,Yugoslavia,,Belgrade,3,14,2010,41.6
Europe,Hungary,,Budapest,1,29,2010,25.1
North America,US,Louisiana,Baton Rouge,2,10,2010,38.7
Asia,Indonesia,,Jakarta,3,4,2010,85.9
Asia,Sri Lanka,,Colombo,11,6,2010,80.7
Europe,Italy,,Rome,2,16,2010,46.2
North America,US,New Jersey,Newark,7,3,2010,78.4
North America,US,Illinois,Rockford,6,9,2010,71.2
North America,US,District of Columbia,Washington,2,20,2010,39.6
North America,US,Michigan,Lansing,10,22,2010,43.1
South/Central America & Carribean,Venezuela,,Caracas,12,2,2010,78.8
South/Central America & Carribean,Bahamas,,Nassau,12,4,2010,71.2
Europe,Bulgaria,,Sofia,11,16,2010,52.7
North America,US,Missouri,Springfield,6,22,2010,84.1
Africa,Tunisia,,Tunis,11,16,2010,60.0
Europe,Italy,,Rome,1,1,2010,54.8
North America,US,Pennsylvania,Philadelphia,3,16,2010,49.7
South/Central America & Carribean,Bolivia,,La Paz,12,23,2010,45.7
North America,US,New York,Rochester,4,7,2010,61.6
North America,US,Vermont,Burlington,3,29,2010,41.3
Europe,Russia,,Moscow,11,4,2010,43.6
Africa,Kenya,,Nairobi,8,27,2010,-99.0
North America,US,Indiana,South Bend,12,4,2010,29.6
Asia,Kazakhstan,,Almaty,5,20,2010,69.7
Asia,South Korea,,Seoul,12,5,2010,49.6
North America,US,Montana,Great Falls,1,29,2010,33.4
Africa,Benin,,Cotonou,11,26,2010,84.5
Africa,Morocco,,Rabat,12,2,2010,55.7
Europe,Italy,,Rome,4,30,2010,61.8
Asia,China,,Beijing,4,6,2010,49.0
Africa,Kenya,,Nairobi,5,30,2010,-99.0
Europe,Germany,,Munich,6,19,2010,52.6
North America,US,California,Sacramento,7,19,2010,76.8
North America,US,Connecticut,Hartford Springfield,8,17,2010,79.9
North America,US,Illinois,Rockford,10,2,2010,52.4
North America,US,Texas,Lubbock,12,28,2010,41.7
North America,US,Ohio,Cincinnati,12,20,2010,29.2
Europe,Belarus,,Minsk,12,19,2010,12.8
Africa,Namibia,,Windhoek,4,21,2010,65.4
North America,US,Additional Territories,San Juan Puerto Rico,5,25,2010,82.0
North America,US,Iowa,Des Moines,2,24,2010,6.5
North America,US,New York,Buffalo,4,17,2010,41.2
North America,US,Texas,Austin,10,24,2010,74.9
North America,US,Texas,Amarillo,10,5,2010,60.7
North America,US,Texas,Houston,11,2,2010,66.5
North America,US,Alaska,Juneau,1,21,2010,30.4
Africa,Senegal,,Dakar,5,27,2010,78.8
North America,Mexico,,Guadalajara,11,26,2010,64.6
North America,US,North Dakota,Fargo,5,14,2010,65.2
Europe,Finland,,Helsinki,7,25,2010,70.9
North America,US,Missouri,Springfield,5,31,2010,74.3
North America,US,New Mexico,Albuquerque,6,17,2010,78.7
Europe,Greece,,Athens,12,30,2010,49.3
South/Central America & Carribean,Panama,,Panama City,1,26,2010,79.7
Europe,Norway,,Oslo,9,14,2010,54.4
North America,US,Kansas,Wichita,5,29,2010,76.8
North America,US,Wisconsin,Green Bay,9,16,2010,57.3
North America,US,Ohio,Cleveland,11,8,2010,43.8
Europe,Czech Republic,,Prague,11,22,2010,43.4
Africa,Benin,,Cotonou,5,24,2010,84.8
South/Central America & Carribean,Honduras,,Tegucigalpa,2,26,2010,68.9
North America,US,Illinois,Springfield,3,25,2010,47.5
North America,US,Pennsylvania,Allentown,9,4,2010,72.1
North America,US,Montana,Helena,12,30,2010,4.8
North America,US,Minnesota,Duluth,7,2,2010,71.0
Asia,Vietnam,,Hanoi,11,26,2010,65.3
Asia,India,,Bombay (Mumbai),1,25,2010,79.4
North America,US,New York,New York City,7,9,2010,82.2
Europe,Sweden,,Stockholm,9,23,2010,54.1
North America,US,Ohio,Columbus,8,1,2010,75.1
North America,US,Additional Territories,San Juan Puerto Rico,12,8,2010,76.5
North America,US,Texas,San Angelo,12,2,2010,53.0
North America,US,Utah,Salt Lake City,6,26,2010,77.7
Europe,Finland,,Helsinki,8,20,2010,58.2
North America,US,Idaho,Boise,3,28,2010,50.5
North America,US,Michigan,Detroit,10,12,2010,57.2
North America,US,Michigan,Grand Rapids,2,6,2010,24.2
North America,US,Pennsylvania,Philadelphia,9,1,2010,85.6
Australia/South Pacific,Australia,,Brisbane,2,22,2010,78.2
Middle East,Oman,,Muscat,5,11,2010,89.9
Asia,Laos,,Vientiane,10,7,2010,84.2
Europe,Switzerland,,Geneva,10,23,2010,54.2
Asia,Sri Lanka,,Colombo,9,6,2010,81.7
Africa,Ethiopia,,Addis Ababa,8,3,2010,60.5
North America,US,Texas,Amarillo,5,5,2010,65.2
North America,US,Texas,El Paso,8,13,2010,88.7
North America,US,Arizona,Tucson,10,5,2010,74.3
North America,US,Florida,Miami Beach,8,31,2010,82.6
North America,US,Michigan,Flint,1,14,2010,32.9
North America,US,Maryland,Baltimore,8,18,2010,74.2
North America,US,Georgia,Savannah,4,10,2010,59.3
North America,US,Tennessee,Knoxville,10,16,2010,55.2
North America,Canada,,Calgary,5,18,2010,65.4
North America,US,Illinois,Peoria,1,23,2010,37.0
South/Central America & Carribean,Cuba,,Havana,1,3,2010,57.3
North America,US,Virginia,Norfolk,3,4,2010,40.8
Europe,The Netherlands,,Amsterdam,1,8,2010,21.3
North America,US,Pennsylvania,Harrisburg,4,21,2010,53.4
North America,US,Wyoming,Casper,11,3,2010,43.4
North America,US,South Carolina,Charleston,3,24,2010,59.8
North America,US,Colorado,Pueblo,10,15,2010,57.9
Europe,Spain,,Bilbao,5,26,2010,64.4
North America,US,Colorado,Grand Junction,7,4,2010,73.8
Middle East,United Arab Emirates,,Dubai,1,22,2010,72.4
South/Central America & Carribean,Uruguay,,Montvideo,9,11,2010,57.7
North America,US,Texas,Waco,9,7,2010,77.8
Africa,Egypt,,Cairo,9,5,2010,82.4
North America,US,Iowa,Sioux City,7,10,2010,74.0
North America,US,Georgia,Macon,7,22,2010,84.8
Africa,Tanzania,,Dar Es Salaam,3,16,2010,84.8
Africa,Uganda,,Kampala,1,25,2010,77.0
Asia,India,,Calcutta,6,9,2010,87.0
North America,US,Arkansas,Fort Smith,11,19,2010,43.9
Middle East,Kuwait,,Kuwait,11,5,2010,73.0
North America,US,Idaho,Boise,12,8,2010,36.2
South/Central America & Carribean,Uruguay,,Montvideo,5,15,2010,58.9
North America,US,Oregon,Eugene,6,23,2010,63.6
North America,US,Texas,Brownsville,8,15,2010,87.7
North America,US,Louisiana,Shreveport,12,3,2010,52.7
Europe,Croatia,,Zagreb,3,30,2010,59.5
North America,US,Texas,Abilene,5,24,2010,78.3
Australia/South Pacific,Australia,,Canberra,7,8,2010,42.7
North America,US,Nebraska,Lincoln,9,27,2010,57.3
South/Central America & Carribean,Equador,,Guayaquil,8,6,2010,75.4
Asia,Vietnam,,Hanoi,10,30,2010,68.3
North America,US,California,San Diego,11,21,2010,59.4
Europe,Italy,,Milan,12,25,2010,44.2
Asia,Myanmar (Burma),,Rangoon,2,3,2010,82.4
South/Central America & Carribean,Colombia,,Bogota,6,28,2010,56.4
North America,US,Illinois,Rockford,11,23,2010,32.9
North America,US,Texas,Dallas Ft Worth,10,18,2010,71.4
Europe,Switzerland,,Bern,8,28,2010,59.6
South/Central America & Carribean,Equador,,Guayaquil,6,21,2010,77.4
Europe,Ukraine,,Kiev,7,1,2010,77.0
North America,US,Illinois,Peoria,11,22,2010,61.7
North America,US,Colorado,Colorado Springs,3,30,2010,59.6
North America,US,Florida,Miami Beach,4,1,2010,69.4
Asia,India,,Calcutta,9,5,2010,84.6
North America,US,North Carolina,Asheville,6,25,2010,73.1
North America,US,Oregon,Medford,8,3,2010,75.7
Africa,Tanzania,,Dar Es Salaam,1,22,2010,82.1
Asia,Malaysia,,Kuala Lumpur,3,13,2010,81.9
North America,US,Pennsylvania,Philadelphia,9,21,2010,65.6
North America,US,South Carolina,Charleston,1,24,2010,58.1
North America,US,Pennsylvania,Allentown,3,4,2010,37.1
Asia,India,,Calcutta,4,15,2010,88.1
North America,US,Colorado,Grand Junction,5,19,2010,56.2
North America,US,South Dakota,Sioux Falls,6,21,2010,71.8
North America,US,Pennsylvania,Erie,2,13,2010,21.8
North America,US,Louisiana,Lake Charles,2,18,2010,44.0
South/Central America & Carribean,Dominican Republic,,Santo Domingo,1,10,2010,78.9
North America,US,Iowa,Sioux City,6,15,2010,66.2
North America,US,Montana,Billings,8,13,2010,63.3
North America,US,Arizona,Tucson,4,5,2010,69.6
North America,US,Kentucky,Paducah,10,22,2010,54.5
Europe,Greece,,Athens,5,31,2010,80.1
Europe,Austria,,Vienna,5,22,2010,59.9
North America,US,North Carolina,Charlotte,7,19,2010,79.1
North America,US,Texas,Waco,10,29,2010,56.3
North America,US,Oregon,Salem,12,15,2010,42.6
North America,US,Texas,San Antonio,7,15,2010,85.1
Europe,Denmark,,Copenhagen,6,2,2010,59.6
Europe,France,,Bordeaux,1,27,2010,32.2
North America,US,Vermont,Burlington,6,9,2010,57.6
North America,US,Idaho,Boise,1,5,2010,33.2
North America,US,New Hampshire,Concord,6,23,2010,71.7
North America,US,Iowa,Sioux City,6,6,2010,69.4
Asia,Malaysia,,Kuala Lumpur,5,11,2010,86.4
Europe,Albania,,Tirana,2,4,2010,40.9
North America,US,Alabama,Mobile,10,14,2010,67.2
North America,US,New York,Rochester,4,29,2010,50.5
Europe,Norway,,Oslo,5,21,2010,61.7
Middle East,Oman,,Muscat,12,2,2010,76.6
North America,US,Texas,Waco,2,21,2010,62.5
North America,US,Nebraska,Omaha,1,8,2010,-3.2
North America,US,North Carolina,Greensboro,7,21,2010,81.3
North America,US,North Dakota,Fargo,7,13,2010,70.6
North America,Mexico,,Guadalajara,9,1,2010,71.9
North America,Canada,,Ottawa,2,10,2010,24.8
Europe,Portugal,,Lisbon,11,10,2010,58.7
Europe,Switzerland,,Bern,9,2,2010,59.1
North America,US,Mississippi,Tupelo,9,23,2010,80.9
Europe,Germany,,Hamburg,11,30,2010,28.2
Asia,Sri Lanka,,Colombo,9,25,2010,81.3
South/Central America & Carribean,Equador,,Guayaquil,8,30,2010,74.1
North America,US,Kansas,Topeka,11,17,2010,41.7
Africa,Zambia,,Lusaka,8,27,2010,66.8
South/Central America & Carribean,Panama,,Panama City,7,31,2010,78.6
North America,US,Missouri,St Louis,8,12,2010,89.0
North America,US,Maryland,Washington DC,7,13,2010,78.3
Asia,India,,Delhi,2,3,2010,59.4
South/Central America & Carribean,Cuba,,Havana,7,1,2010,81.8
North America,US,District of Columbia,Washington,9,12,2010,68.4
North America,US,Nebraska,Omaha,1,21,2010,33.4
North America,US,Ohio,Dayton,11,8,2010,48.6
North America,US,North Dakota,Bismarck,3,27,2010,35.2
Africa,Ethiopia,,Addis Ababa,5,26,2010,66.1
North America,US,Colorado,Grand Junction,12,29,2010,32.4
Europe,Austria,,Vienna,9,9,2010,61.2
North America,Canada,,Halifax,9,16,2010,54.8
Australia/South Pacific,Australia,,Brisbane,3,17,2010,74.5
Africa,Mozambique,,Maputo,12,26,2010,76.9
Europe,Slovakia,,Bratislava,9,14,2010,63.4
North America,US,West Virginia,Elkins,12,5,2010,24.6
Africa,Benin,,Cotonou,9,24,2010,78.4
Africa,South Africa,,Capetown,4,7,2010,64.2
North America,US,Florida,West Palm Beach,6,16,2010,85.2
Africa,Zambia,,Lusaka,10,15,2010,82.7
North America,US,Pennsylvania,Philadelphia,9,29,2010,69.4
South/Central America & Carribean,Guyana,,Georgetown,10,11,2010,-99.0
Europe,Belgium,,Brussels,2,10,2010,25.1
Middle East,United Arab Emirates,,Abu Dhabi,11,28,2010,73.7
Europe,Belarus,,Minsk,11,13,2010,45.8
North America,US,Arizona,Tucson,9,25,2010,84.8
North America,US,Minnesota,Duluth,1,16,2010,24.8
North America,US,Kansas,Wichita,1,8,2010,7.5
North America,US,Connecticut,Bridgeport,1,20,2010,36.9
North America,US,Texas,Abilene,6,19,2010,85.5
Europe,Latvia,,Riga,6,21,2010,53.5
South/Central America & Carribean,Venezuela,,Caracas,7,25,2010,84.8
North America,US,Utah,Salt Lake City,11,26,2010,18.2
North America,US,Oregon,Salem,1,25,2010,48.1
North America,US,South Carolina,Columbia,3,6,2010,40.9
North America,US,Minnesota,Minneapolis St. Paul,10,5,2010,56.7
North America,US,Pennsylvania,Philadelphia,1,19,2010,39.6
Africa,Guinea-Bissau,,Bissau,7,4,2010,80.1
South/Central America & Carribean,Argentina,,Buenos Aires,2,23,2010,70.1
Asia,Japan,,Sapporo,7,29,2010,69.1
North America,US,South Carolina,Charleston,1,3,2010,30.7
Europe,Switzerland,,Bern,5,5,2010,47.5
North America,US,Nebraska,North Platte,7,22,2010,76.5
South/Central America & Carribean,Brazil,,Brasilia,10,8,2010,79.1
North America,US,Michigan,Grand Rapids,8,24,2010,69.2
North America,US,New York,Rochester,8,2,2010,72.9
North America,US,Louisiana,Shreveport,10,6,2010,61.0
Africa,Senegal,,Dakar,11,7,2010,81.2
North America,US,Georgia,Macon,10,2,2010,66.5
North America,US,California,Fresno,2,14,2010,52.2
Europe,France,,Paris,1,3,2010,29.9
Europe,Macedonia,,Skopje,2,22,2010,35.6
Middle East,Turkey,,Ankara,6,3,2010,70.4
North America,US,Delaware,Wilmington,7,29,2010,79.6
Africa,Sierra Leone,,Freetown,4,11,2010,81.8
North America,US,Florida,Jacksonville,4,9,2010,71.3
North America,US,Louisiana,New Orleans,4,30,2010,75.1
North America,Canada,,Calgary,3,5,2010,37.7
North America,US,Texas,Wichita Falls,11,26,2010,35.5
North America,US,Maine,Caribou,6,5,2010,59.3
North America,US,New Jersey,Newark,10,15,2010,54.3
Asia,Turkmenistan,,Ashabad,12,4,2010,40.3
South/Central America & Carribean,Uruguay,,Montvideo,6,27,2010,54.7
Asia,Japan,,Tokyo,10,29,2010,57.8
North America,US,Delaware,Wilmington,1,22,2010,38.1
Asia,Japan,,Osaka,11,19,2010,54.5
Europe,Ukraine,,Kiev,4,8,2010,53.0
Asia,China,,Beijing,12,20,2010,35.0
North America,US,Tennessee,Memphis,11,1,2010,62.6
North America,US,Nebraska,Lincoln,7,23,2010,83.5
Asia,Pakistan,,Islamabad,11,13,2010,62.2
Asia,Sri Lanka,,Colombo,1,23,2010,78.8
South/Central America & Carribean,Guyana,,Georgetown,5,7,2010,-99.0
North America,US,Pennsylvania,Pittsburgh,2,25,2010,28.6
North America,US,New York,Buffalo,12,28,2010,26.5
Europe,Switzerland,,Zurich,1,25,2010,32.6
